AwardNumber,Program(s),PrincipalInvestigator,Title,StartDate,Abstract
8909810,ARTIFICIAL INTELL & COGNIT SCI,David Weir,Constrained Systems for Efficient Natural Language Processing,9/1/89,"This investigation of a computer based language processing formalism will focus on characteristics that facilitate the implementation of linguistic models . It should not only be possible to embed such models in the system concisely , but the resulting system should be computationally efficient . In order to achieve the form of the restrictions determined by the requirement that it be suitable for expressing natural language models . In earlier work , the investigator identified several features common to a range of constrained grammar formalisms , despite their very different notations . These features concern restrictions of the form of the derivation process , and appear to indicate that each of these formalisms is amenable to efficient parallel parsing algorithms . The research will now formalize the common features of these systems and of their processing implications , using results from research on parallel models of computation . This should lead to a deeper understanding of the desirable computational properties inherent in theories developed by computational linguistics ."
8803505,DIGITAL SOCIETY&TECHNOLOGIES,Donald Saari,Toward a Mathematical Foundation for Information and Decision Sciences,9/1/88,"By combining concepts coming from `` chaotic dynamical systems , '' differential geometry , and symmetry , a common mathematical foundation will be created to serve for several , seemingly different models coming rom the informational and decision sciences . Such a foundation permits the transfer of ideas , concepts , and techniques among several different disciplines , and it leads to the development of techniques to solve issues that span the informational sciences . The kinds of problems to be addressed include the analysis of procedures from voting and the decision sciences , techniques from probability and statistics , as well as the design of mechanisms and incentive structures for economics . The reason the results obtained in this research will be interdisciplinary is that the emphasis is on characterizing the combinatoric symmetries of `` kinds of defining properties '' for models as opposed to the particular properties of a specific model ."
8814672,DIGITAL SOCIETY&TECHNOLOGIES,Itzhak Gilboa,Bounded Rationality and the Role of History in Decision Under Uncertainty,9/15/88,"This research suggests a new model of decision under uncertainty in a multi-period framework where the decision maker ( an individual or an organization ) is assumed to be boundedly rational . The model differs from existing ones in two key assumptions : ( 1 ) the process is assumed to have an infinite history , i.e. , to be in a `` steady state , '' and ( 2Õ ) the bounded rationality notion is modeled by a new computational model -- a Turing machine with memory . The research objectives are : to define formally a Turing machine with memory ; to study the various models of machines with memory , compare their computational ability and analyze the trade-offs among their complexity , size of memory and length of recall ; to study the effects of interaction , assuming more than one decision maker is involved , and ; to generalize the model in order to allow for the appearance and disappearance of decision makers ( or agents ) in the context of cooperative and competitive models ."
8709072,ARTIFICIAL INTELL & COGNIT SCI,Jie-Yong Juang,Parallel Logic Inference Via Clause Migration ( Computer and Information Science ),9/15/87,"This research , funded as an Engineering Research Initiation Award , develops methods of logic inference for parallel computers . The proposed scheme is based on maintaining logical data in related clusters . Reasoning ( resolutions ) on these clusters can be performed concurrently on multiple processors . This approach will utilize existing multicomputers ; no special-purpose architecture is assumed . Optimal methods of of partitioning clause sets and managing clause migrations will be studied analytically and experimentally . Knowledge based systems can not effectively use logical inference unless reasoning can be carried out at high speed . The importance of this research is that parallel processing offers one promising route to the necessary speedup ; logical clustering is a method to `` divide and conquer '' a logical inference problem , spreading the computation effectively among many separate processors ."
8917579,INFORMATION & KNOWLEDGE MANAGE,Peter Scheuermann,Workshop on Research Issues in the Integration of Heterogeneous Database Systems,9/1/89,"The workshop on Research Issues in the Integration of Heterogenous Database Systems will bring together a small group of approximately forty participants including both designers and users of large heterogenous systems that require integration . The objective of the workshop is to provide new perspectives on theoretical and experimental issues on this timely topic and to identify the basic research needed before the next generation of distributed heterogenous database systems is built . The workshop will examine the technical issues that arise in designing multidatabase or federated database systems where the individual systems have various degrees of autonomy and different capabilities . Some of the topics to be discussed are semantic heterogeneity and schema integration , transaction processing , and query processing ."
8813225,"ROBOTICS, HUMAN COMPUTER INTER PROGRAM, DIGITAL SOCIETY&TECHNOLOGIES, CROSS-DIRECTORATE PROGRAMS",W. Thomas Miller,Control of Robotic Manipulators Using a Neural Network Based Learning Controller,9/1/88,"The overall objective of this project is to develop a learning controller for robot manipulators , using neural network techniques . This approach has the advantages of being highly portable , numerically efficient , and applicable to nonrepetitive operations . Current research goals are to further investigate the properties of a learning controller ( which was previously developed at the University of New Hampshire ) through real time experiments using a five-axis industrial manipulator , to extend the theoretical analysis of such learning systems , and to develop design methodologies for applying the learning technique to other complex control problems ."
8712730,CROSS-DIRECTORATE PROGRAMS,Philip Hatcher,REU : Research Experiences for Undergraduates in Computer Science ( Computer and Information Science ),7/1/87,"This is an award resulting from a submission in response to Program Announcement NSF 86-81 , Research Experience for Undergraduates , 1987 . Under this award The University of New Hampshire will provide ten undergraduate students with training and support while they participate in ongoing research projects in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited some of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8714544,"INFORMATION & KNOWLEDGE MANAGE, CROSS-DIRECTORATE PROGRAMS",John Grant,Research in Database Foundations and Logic Programming at an Undergraduate Institutions,4/1/88,"This project contains two related activities . First , we propose to continue our research in database foundations and logic programming that we have been conducting under the present RUI grant . Specifically , we wish to implement a semantic query optimizer that was developed under the present RUI grant . We will also study incremental semantic compilation , structured deductive databases , integrity constraint checking , and cooperative answer generation . Second , we wish to continue our research program in the Department of Computer and Information Sciences at Towson State University , an undergraduate institution . We will continue the seminar in database research for outstanding students , thereby encouraging them to study for advanced degrees in computer science ."
8657807,,Michael Leyton,Presidential Young Investigator Award ( Computer and Information Science ),8/1/87,"This Presidential Young Investigator Award is for support of Michael Leyton at Rutgers University . Leyton 's research centers on perceptual organization . Perceptual organization is modeled as representing the environment as hierarchies of deterministic machines , i.e . as nested systems of control , where these hierarchies have a common mathematical structure , especially adapted to the function of planning . The sponsored work includes deeper investigations of the mathematical structure of this model , connections with information theory , and pilot studies of auditory perceptual organization . The significance of this research is that an understanding of perception , by a structured and principled approach , may contribute to major advances in computer systems capable of independently dealing with their environment by seeing , hearing , and other forms of perception . The Presidential Young Investigator Awards provide research funding to attract and support young researchers of the highest quality in the university environment ."
8809391,ROBOTICS,Kie-Bum Eom,Robust Random Field Models for Images with Long and Short Term Dependencies,7/1/88,"The objectives of this project are : to develop a random-field model which can represent both long- and short-correlation structures of an image ; to investigate robust estimators in the long- and short-memroy random-field models ; and to develop segmentation and restoration algorithms using theoretical models found in this project . The long-memory model will be generalized by adding the short- memory structure of autoregressive moving-average ( ARMA ) -class models . At least two approaches will be used : the input process of the long-memory model will be represented by ARMA models ; and the fractional differencing term in the long-memory model will be modified by a fractionally-differenced autoregressive process . Robust M-estimators will be derived for the estimation of parameters in generalized long-memroy models ; the objective function will be derived by metricaly Winsorizing either a likelihood function or a least-squares criterion . Issues involved with M-estimators , such as scale variance , efficiency at assumed distribution , asymptotic properties , convergence , etc. , will be investigated . Two-dimensional robust Kalman filters for image restoration , and maximum-likelihood decision rules for segmentation , will be developed . The performance of model-based vision algorithms is directly related to the modeling power of the algorithm , and will be greatly aided by these long- and short-memory models ."
8702649,"ROBOTICS, CROSS-DIRECTORATE PROGRAMS, SPECIAL PROGRAMS-RESERVE",Stephen Zahorian,Spectral Shape Factors as Acoustic Invariants for Speech Perception ( Computer and Information Science ),7/15/87,"This research is aimed at investigating a perceptual model for representing information in speech based on spectral shape factors of short-time speech spectra . Spectral shape factors are defined as the low-ordered components of a cosine basis vector expansion of speech spectra . The primary objective of the proposed research is to determine whether spectral shape factors are fundamental information-bearing parameters for speech , or whether they are merely a convenient method for encoding speech spectra . For both vowels and stop consonants , a perceptual model which is based on spectral shape factors will be directly contrasted with a perceptual model which is based primarily on the peaks in the spectrum . In both cases experiments will be conducted to determine the extent to which coustic invariance in the speech signal can be represented by spectral shape factors . This research will not only contribute to a fundamental understanding of the information-encoding process in speech , but also has the potential for aiding automatic speech recognition research and work in the area of sensory substitution for the hearing impaired ."
8704576,"COMPUTER SYSTEMS ARCHITECTURE, ROBOTICS",Michael Flynn,Performance Evaluation of Parallel Logic Programming Paradigms ( Computer and Information Science ),8/1/87,"A shared memory multiprocessor testbed will be built for measuring parallel logic programming language architectures . The purpose of developing the testbed is to compare several parallel implementations of logic programming languages to determine which paradigm offers greater cost-effective performance . An equally important goal is the determination of the memory characteristics of , and memory designs suitable for those languages . The testbed , enabling empirical measurement of benchmark performance , will be composed of architecture emulators and memory simulators running on a host multiprocessor . Processor performance is estimated as required shared memory bandwidth because high speed processors are ultimately limited by memory bandwidth and architectures that require less bandwidth have greater potential for high performance . Memory performance statistics to be collected include local cache miss ratio , traffic ratio , broadcast traffic ( necessary to retain consistency between caches ) . This methodology is most suited for ongoing processor design efforts , like the PIM project at ICOT , because experimental memory designs can be quickly described , tested and results compared with other models . This project is a collaborative effort with the Japanese Institute for New Generation Computer Technology ( ICOT ) and funded under the NSF/ICOT Visitors Program ."
8713120,CROSS-DIRECTORATE PROGRAMS,Mubarak Shah,Research Experience in Computer Vision for Undergraduates ( Computer and Information Science ),6/1/87,"This is an award resulting from a submission in response to Program Announcement NSF 86-81 , Research Experience for Undergraduates , 1987 . Under this award The University of Central Florida will provide eight undergraduate students with training and support while they participate in ongoing research projects on computer vision in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited some of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8703710,ARTIFICIAL INTELL & COGNIT SCI,Edward Shortliffe,Pragmatic Approaches to Reasoning Under Uncertainty ( Computer and Information Science ),8/1/87,"This research investigates pragmatic approaches to computer-based probabilistic reasoning systems . In the past , artificial intelligence researchers have often avoided probability theory for reasoning with uncertainty because of a common perception that the application of probability theory is invariably associated with a commitment to intractable algorithms and inordinate knowledge-acquisition time . The development of efficient algorithmic and assessment techniques would allow investigators to apply a theoretically justified model of belief entailment to complex problems . As a result , the goals in this research are ( 1 ) to develop techniques for using knowledge about problem-solving tradeoffs to optimize dynamically the value of computer performance to the user , ( 2 ) to construct efficient algorithms for probabilistic reasoning , and ( 3 ) to investigate pragmatic techniques for the elicitation of knowledge from experts . Two existing diagnostic systems are testbeds for this research , which is directly applicable to many areas of science and engineering . Although the techniques of artificial intelligence are being used to provide decision support tools ( `` expert systems '' ) in a variety of settings within science , technology , and industry , several fundamental research problems remain . One significant concern is the lack of well-developed methods for dealing with the uncertainty that characterizes many problem-solving tasks . For example , in medicine or geological exploration , experts must infer the state of the process they are investigating ( e.g. , a patient 's disease or a possible mineral deposit ) by interpreting indirect measurements that generally provide only partial support for hypotheses . Most available tools deal with such uncertainty by using ad hoc methods whose applicability and limitations are poorly understood . By developing practical methods for using formal probability theory in such systems , this research replaces ad hoc techniques with approaches for which the underlying assumptions and limitations can be demonstrated analytically and considered during system construction and use ."
8912511,ROBOTICS,Bernard Roth,The Fifth International Symposium on Robotics Research,8/1/89,"This grant provides airfare for fifteen U.S. scientists to attend the Fifth International Symposium on Robotics Research in Tokyo , Japan . ISSR is a high-quality conference that rotates between the U.S. , Japan , and Western Europe , and is an effective means of initiating collaboratory research and exchange visits . The call for papers was open this year in order to broaden participation . Airfare awards will be distributed among authors of top-ranked papers who lack travel funds , plus one or two distinguished attendees invited by the Editorial Advisory Board of the International Journal of Robotics Research . The symposium will be conducted in a single track to facilitate cross-disciplinary interchange , and recipients of travel grants will contribute to a summary report and a description of visited research facilities ."
8904611,ARTIFICIAL INTELL & COGNIT SCI,John McCarthy,Basic Research in Artificial Intelligence,8/1/89,"The focus of this research is the development of formal methods of nonmonotonic reasoning to express commonsense knowledge and reasoning . Additional epistemological problems will be investigated , including formalization of the notions of context and mental situation . It is intended that this work will make it possible to develop a general purpose database of commonsense facts . Work will also proceed on the formal expression of heuristics . Specific topics include introspective circumscription , the ramification problem , the description of creating and destroying objects in the situation calculus , and ontologies of time and action ."
8912188,"ARTIFICIAL INTELL & COGNIT SCI, SPECIAL PROGRAMS-RESERVE",Nils Nilsson,Modal Operators and Multivalued Logics,10/1/89,"A variety of theoretical applications of artificial intelligence make use of modal operators . A modal operator is often thought as a function that takes a well.formed formula as an argument and is assigned a semantics . This project is an investigation into the theoretical and computational properties of a new formalization of modal operators . This formalization views a modal operator as consisting of both a syntactic and semantic component . The aim of this research is to examine how this new formalization would work under a number of different modal operators and to construct a general purpose implementation of this formulation that allows us to look at specific examples involving the modal operators arising in the analysis of belief , knowledge , casuality and simple temporal reasoning ."
8814953,DIGITAL SOCIETY&TECHNOLOGIES,Mordecai Kurz,Interactive Social Systems Under Bounded Rationality,1/15/89,"The last few years have seen increasing mutual awareness and interaction between computer science and interactive decision theory ( e.g. , game theory , economics ) . This has been spurred by parallel developments in the two disciplines : in computer science , the advent of distributed systems ; in interactive decision theory , the analysis of increasingly complex social systems , leading to the realization that traditional rationality assumptions make extremely large demands on the information processing capabilities of the agents . Computer scientists started using game-theoretic and similar interactive models for the study of distributed computing systems and economists turned to computer science ( finite automata , Turing machines , and actual computer programs ) to model bounded rationality . This project concentrates on three central problems which arise in this connection : ( 1 ) Optimization with limited memory-the study of the effect of limited capacity on the optimization of rational agents . The explicit modelling of the cost of information processing . ( 2 ) Common knowledge-to introduce the idea of `` formal common knowledge '' which would , practically speaking , achieve all the desirable coordination consequences that would be achieved under common knowledge . ( 3 ) Social interaction with bounded rationality-to formulate the presence of irrationality in social systems and define their equilibria . That is , the project initiates a serious study of the behavior of interactive systems when some or all of the agents are bounded rational.//"
8704065,DIGITAL SOCIETY&TECHNOLOGIES,Stefan Reichelstein,Network Mechanisms and Informationally Efficient Hierarchies ( Collaborative Research ) ( Computer and Information Science ),8/1/87,"This is collaborative research with Thomas Marschak at The University of Caifornia-Berkeley ( Grant 8704244 ) . The research concerns the design of efficient organizational schemes . In particular , it considers the comparative advantages of hierarchical arrangements . The authors posit a group of agents who are to take actions in a changing environment . The joint action has to meet a performance standard , i.e. , it has to lie in a set that depends on the environment . Each member observes some component of the actual environment and chooses her action after receiving messages from others . A network mechanism prescribes messages sent and actions taken and may be hierarchical . A network mechanism is efficient if it satisfies the performance standard and no other mechanism does so at a smaller informational cost . Cost is measured by the size of the set of messages that agents can send or receive . General techniques for constructing efficient mechanisms have been applied to a multi-plant firm example and an exchange-economy example . The broader significance of this work is that it seeks to generalize these results to find those basic properties of performance standards that make hierarchies efficient . In the same context the researchers study : ( 1 ) dynamic issues , i.e. , the number of steps until actions are obtained ; ( 2 ) reward structures , i.e. , contracts among the group 's agents , so that hierarchies can be examined in light of the incentive problems ; and ( 3 ) promising links to the `` communication complexity '' literature in computer science"
8900798,CROSS-DIRECTORATE PROGRAMS,Mubarak Shah,Research Experience for Undergraduates in Computer Vision,4/1/89,"This is an award resulting from a submission in response to Program Announcement NSF 88-28 , Research Experience for Undergraduates . Under this award The University of Central Florida will provide eleven undergraduate students with training and support while they participate in ongoing research projects on computer vision in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited some of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
8814179,"Economics, Methodology, Measuremt & Stats, DIGITAL SOCIETY&TECHNOLOGIES, ARTIFICIAL INTELL & COGNIT SCI, CROSS-DIRECTORATE PROGRAMS",Paul David,Informational and Organizational Impacts on Productivity : The Economics of Control and Reliability in Complex Production Process,10/1/88,"This project provides theoretical and econometric methods for analyzing how advanced information technologies , and the structures of the organizations using them , affect the performance of modern , complex , industrial production facilities . The research focusses upon the productivity and reliability of established production facilities , and its ultimate aim is to assess the impacts of new technologies for process monitoring and control upon these two quantitative dimensions of performance . The research agenda has three elements . First , it aims to advance the analysis of production systems by examining the choices of techniques for process control and organizational design that would promote improvement sin reliability and productivity via more extensive uses of sophisticated information technology . Second , it proposes novel formulations of production theory that relate more directly to empirical observations of micro level production events . Third , the project undertakes to test the usefulness of its conceptual and methodological researches by applying these concretely , in a study of organizational and information-technology impacts on the performance of an economically important and exceptionally well-documented industry -- commercial nuclear power plants operated by U.S. electric utility companies ."
8721701,ARTIFICIAL INTELL & COGNIT SCI,Yoav Shoham,Nonmonotonic Temporal Reasoning,7/1/88,This research focuses on extensions to classical logic which are both - flexible enough to represent aspects of the real world such as approximate knowledge and change in knowledge over time which escape traditional logic - theoretically sound and capable of being built into effective computer systems . A particular emphasis is on sound principles which enable a reasoning system to successfully ignore irrelevant parts of its knowledge in arriving at conclusions . The importance of this work is in bridging the gap between pure theory about the consistency and effectiveness of various new logics and real world applications in computer reasoning systems and robots .
8715000,DIGITAL SOCIETY&TECHNOLOGIES,Paul David,The Political Economy of Information Technology Standards : Towards a Framework for Policy Research ( Computer and Information Science ),12/1/87,"Research on theoretical , empirical and public policy issues of technological standards in computing and communications is producing a growing body of important literature , a part of which deals with understanding the process of standardization and the impact of standards on technological progress and economic efficiency . This workshop seeks : to assess the contributions of recent research in this area , from presentations of papers by representative leading researchers in economics and related disciplines ; to facilitate and clarify examination of these issues by developing some basic conceptual and terminological guideposts for this young research area ; and to identify the most promising theoretical and empirical research questions relevant to the policy issues surrounding standardization . The workshop will be limited to about 24 participants and will be held in mid-June , 1988 at Stanford University . The eleven papers presented at the workshop will be reproduced as part of Stanford University 's Center for Economic Policy Research 's Discussion and Technical Paper Series ."
8722886,"INFORMATION & KNOWLEDGE MANAGE, CROSS-DIRECTORATE PROGRAMS",Jeffrey Ullman,Research into the Design and Implementation of Knowledge- Based Systems ( Computer and Information Science ),1/1/88,"This award is for continued work on knowledge based systems by Jeffrey Ullman and his research group at Stanford . The goal is to develop systems which will not only store large amounts of data , but will respond effectively to inquiries , without explicit programming by the user . By choosing logic as the vehicle to develop knowledge based systems , this group intends to make data retrieval and inference mesh smoothly with advanced operations on data such as generation and modification of database elements for advanced engineering design . The central challenge is to make logic programming computationally effective for large amounts of data . The significance of this research is that it will lead to far more efficient and natural forms of programming - a key to the effective use of computers as design and reasoning `` assistants , '' rather than as passive stores of data ."
8620059,ARTIFICIAL INTELL & COGNIT SCI,Nils Nilsson,Multi-valued Logics ( Computer and Information Science ),9/15/87,"This research explores the theoretical and computational properties of a formal system that subsumes many of the inference mechanisms currently of interest in artificial intelligence research and applications . The theoretical work proposed involves developing a uniform framework of which various formal extensions to first order logic are special cases . The extensions we will consider include default reasoning , probabilistic inference , and reason maintenance systems . The research will enable us to recognize computationally effective ( or ineffective ) inference schemes in advance . We also intend to describe in a precise way the calculational compromises made by production systems such as MYCIN in implementing such extensions . Finally , we propose to implement a general-purpose inference engine incorporating the theory developed and capable of being conveniently specialized to perform inference suitable for any of a variety of domains . The significance of this project is that it will provide a bridge for artificial intelligence research between theoretical work on the nature of reasoning and practical work in developing programs such as expert systems . The benefits will include not only new theoretical insights but also new algorithms and tools which will allow more flexible development of expert systems , and improve the performance of such systems when they have been completed ."
8617873,ROBOTICS,Jan Edwards,The Organization of Informational Structure in Articulator Movement and Acoustic Duration Patterns ( Computer and Information Science ),6/15/87,"An accurate computational model of the prosodic patterns which organize utterances into coherent units of sound is essential for good-quality machine synthesis and recognition . Such a model will require an understanding of the abstract prosidic categories of intonation , stress , and phrasing , and a description of how they are implemented in pitch and rhythm patterns . This research is aimed at modeling the timing patterns of English as they reflect abstract prosodic categories . First , experiments will be conducted to explore the types of stresses and phases that affect speech timing , and the precise nature of the effects . A particular concern will be to discover a representation for these effects that will make the specification of the underlying prosodic patterns invariant across changes in speech tempo and segmental content . For example , the representation must allow slow and fast productions of machine recognition to be generated from an invariant specification of the stress and phrasing for this noun phase , and it must allow the use of the same specification in generating the prosodically identical noun phrase sublime delegation . The preliminary experiments will examine the timing patterns of the speech articulators involved in speech production as well as the resulting patterns evident in the acoustic signal . The computational model also will generate both articulatory and acoustic timing patterns ."
8900024,INFORMATION & KNOWLEDGE MANAGE,Ronald Yager,Possibility Theory in Expert Systems,8/1/89,"The main focus of this project is on the development of a formal automated mechanism for the implementation of default reasoning in expert systems . The formal structures are used to provide a deeper understanding of the default reasoning process and of nonmonotonicity . This formal structure is developed in the framework of the fuzzy set based theory of approximate reasoning . Goals of this project include the representation of various types of default rules by possibility qualified statements , the implementation of the operation possibility qualification , the effect of multiple defaults on the reasoning process , a comparison of probability and default reasoning systems , and the modeling conjunction of fuzzy and default environments ."
8808896,"ROBOTICS, CROSS-DIRECTORATE PROGRAMS",Joseph Kearney,Programming with Articulated Objects,7/15/88,"The objective of this project is to study the control of articulated objects performing complex actions . Motion analysis will be approached from a computational perspective viewing actions as directed by coordinated processes that specify torques and forces on objects to accomplish purposive behavior . The project will study the problems that arise when objects have many degrees of freedom , when tasks lack precise specification , when unpredictable events and interactions with other objects are commonplace , and when the consequences of actions can not be precisely determined before the action is performed . The project will emphasize fundamental principles for programming complex physical object . Methods for representing objects , specifying tasks , and reasoning about actions will be addressed . Techniques for adaptive , event driven control of concurrent motor functions will be investigated . Particular emphasis will be placed on coordination and methods for maintaining stability and balance . The work will contribute to the ongoing design of a system in which theories of action and control can be easily posed as computational processes and empirically tested in simulation . The physical object simulator Newton will be used to accomplish the work ."
8808523,ROBOTICS,Nasser Nasrabadi,A Stereo Vision Technique Using Curve-Segments and Relaxation Matching,7/15/88,"To obtain depth information and a 3-D description of the objects in a robot work cell , a number of passive and active methods have been proposed . One is a stereo vision technique that uses two cameras at different viewpoints . The major issue in any stereo vision system is the correspondence problem . In this work , a multi-channel feature-based stereo vision technique is proposed in which curve segments are used as the feature primitives in the matching process . A relaxation technique is used to obtain a global match betwen the curve segments in the left and in the right image . Local information about the curve segments as well as the structural information about the objects in the scene are incorporated into the stereo technique . The specific goals are : 1. to develop the proposed stereo technique , and evaluate its performance on a large number of stereo images ; 2. to integrate the stereo technique into an operational robot work cell ; 3. to evaluate its operformance , and compare with existing techniques ."
8809574,ROBOTICS,Matthew Ward,Image Segmentation using Domain Constraint Knowledge,8/1/88,"Current trends in image segmentation indicate that in order to achieve connsistently good results , some form of domain knowledge must be used . Knowledge-based image-segmentation systems traditionally use models of objects and their interrelationships to guide or postprocess the low-level segmentation operation . A major shortcoming of that appproach is the size and complexity of the knowledge base needed for all but trivial domains . The knowledge is often quite difficult to embed in the system and usually is not transferred easily to other domains . Also , processing time can be large . The goal of the proposed work is to explore the use of a small set of domain constraints , namely lighting , camera , and general object surface characteristics , to produce acceptable segmentation results without the need to classify objects beforehand . As images can be constructed graphically using only surface orientation , color , and reflectivity , along with the position and type of lighting , it is hypothesized that general domain information will often be sufficient to perform adequate segmentation . The proposed system will use this knowledge to drive a low-level expert segmentation system , determining parameters , selecting strategies , and resolving ambiguous interpretations ."
8903507,INFORMATION & KNOWLEDGE MANAGE,Michael Kifer,Database Methods in Expert Systems,10/1/89,"In recent years rule-based and frame-based systems became popular tools for developing a wide range of knowledge intensive applications . Although these tools provide significant help to the application developer , building expert systems remains a largely ad hoc and a very labor-intensive activity . Recent achievements in knowledge representation and deductive database research made time ripe for attempting a systematic logic-based approach to expert systems . The proposed contention is that expert system programming can be made more declarative by releaving the developer from the burden of specifying most details of control strategy . This burden should be taken over by the system which will use various optimization techniques to achieve desirable response time . In this research , a language which integrates rules and frames under one roof , and is suitable for reasoning with uncertainty will be designed and implemented . Being purely declarative , this language will allow shortening of the development phase of knowledge-intensive applications and make them more reliable and extensible . Industrial expert system developers as well as knowledge engineering researchers will benefit from theresults of this research ."
8821923,"ROBOTICS, HUMAN COMPUTER INTER PROGRAM, DIGITAL SOCIETY&TECHNOLOGIES, SPECIAL PROGRAMS-RESERVE",Muralidhara Subbarao,"Machine Vision Through Inverse Optics : Theory , Algorithms , Experiments , and Hardware",10/1/89,"Inverse optics is the problem of recovering 3-D scene information by mathematically inverting an image formation process . This grant is for study of inverse optics in active vision systems , where camera motion , focus , and stereo vergence are under computer control . The goal is to discover principles by which active computer vision can approach the capabilities of human vision ."
8719469,"ARTIFICIAL INTELL & COGNIT SCI, CROSS-DIRECTORATE PROGRAMS",Lynne Reder,REU : Components of Initial Skill Learning : Development of Effective Examples and Training Procedures,3/1/88,"This research is concerned with how to best train technical , coginitive skills . The approach is based on a three-component model of skill acquisition . This model is developed and tested , by generating and applying diagnostic tests to determine whether a given component of a skill has been acquired by the learner . The particular skill used for experimentation is based on the command language of an electronic spreadsheet . The model is further intended to be used as part of an intelligent tutoring system , capable of predicting students ' performance as they learn a technical skill . The importance of this research is that it not only sheds light on general models of cognitive processing , but has practical application to the development of advanced intelligent tutoring systems ."
8800097,ROBOTICS,Jaime Carbonell,US Japan AI Syposium ( Computer and Information Science ),11/1/87,"This project provides partial funding for a symposium on Artificial Intelligence , jointly sponsored by NSF and the Japanese Institute for New Generation Computer Technology ( ICOT ) . The purpose of the joint symposium is to provide a venue for the interchange of new scientific ideas , methods and approaches between the researchers from the U.S. and Japan . The main focus of the symposium is on artificial intelligence architectures , foundational aspects of artificial intelligence , artificial languages and methodologies , natural language processing and learning , and machine learning and knowledge acquisition . The 3- day symposium will be held in Tokyo , Japan , with a fourth day scheduled for a visit/tour of the ICOT facility ."
8858085,ARTIFICIAL INTELL & COGNIT SCI,Masaru Tomita,Presidential Young Investigator Award ( Computer and Information Science ),8/1/88,"This Presidential Young Investigator Award is for support of Masaru Tomita at Carnegie Mellon University . Tomita 's research centers on computer systems for natural language processing , especially multi-lingual translation systems and real time natural language processing systems . His goals include the development of knowledge- based translation systems for English , Japanese , French , and German . The significance of this research is that automatic processing of natural language is a vital component in computer systems interface for the future . Multilingual translation systems have fundamental theoretical and economic importance . The Presidential Young Investigator Awards provide research funding to attract and support young researchers of the highest quality in the university environment ."
8902269,"ARTIFICIAL INTELL & COGNIT SCI, CROSS-DIRECTORATE PROGRAMS",Michiko Kosaka,A Sublanguage Approach to Japanese-English Machine Translation,8/15/89,"This machine translation research is joint work of Ralph Grishman at New York University , Michiko Kosaka at Monmouth College and Virginia Teller at Hunter College of CUNY . Progress in machine translation has been hampered by the lack of clear development methodologies . The goal of this work is the creation of such a methodology . These investigators suggest an approach based on the cross linguistic sublanguage analysis : the systematic collection and correlation of the patterns of work usage in the source and target languages ( in this case , Japanese and English ) for a particular subject domain . These comparative linguistic studies will be based on an operator argument formalism , which in most cases reduces corresponding English and Japanese sentences to structurally identical representations . The results of these studies can then be used to create a translation system , consisting of an analysis phase ( creating operator argument trees ) , a transfer phase ( based on the sublanguage patterns ) , and a generation phase ( to synthesize target language sentences ) . A prototype system will translate computer manuals from Japanese into English ."
8902813,DIGITAL SOCIETY&TECHNOLOGIES,Thomas Marschak,`` Coordinating Multi-Processor Organizations '',7/1/89,"This is a group project to investigate interdisciplinary aspects of problems relating to coordinating the activities of autonomous agents . It researches a variety of issues arising in computer science , electrical engineering , economics , and operations research . Some of the problems are purely theoretical and typically use techniques of discrete and combinatorial mathematics . Some require computational experimentation . And some of them model the practices and tasks of real organizations . The problems have a common thread , and this project will develop a precise common language , so that the work on one problem will have an impact on the others . In each problem , there is a group of processors/persons who are to perform a common task . A designer is to chose a coordination scheme that specifies for each person/processor the computations and the communicating that must be performed at each of a sequence of points of time . The designeer wants the scheme to be efficient with respect to several cost measures . The costs may include communication time , computing capacity , distance from correct task fulfillment , and the capacity to control actions . To make this research a group venture , a continuing seminar on coordination problems is conducted and advanced graduate students are involved . The project goal is to exploit the different techniques and perspectives of the disciplines involved to advance knowledge concerning the central problem of how to efficiently coordinate activities involving inputs , processes and decisions of several separate agents ."
8901175,CROSS-DIRECTORATE PROGRAMS,Robert Campbell,Systems Simulation and Modeling,4/1/89,"This is an award resulting from a submission in response to Program Announcement NSF 88-28 , Research Experience for Undergraduates . Under this award Utah State University will provide ten undergraduate students with training and support while they participate in ongoing research projects in the University 's Computer Science Department . The award recognizes the importance of hands-on experience in active research for training undergraduates for careers in mathematics , science and engineering , and that too few such experiences are now available . The University recruited most of the students from other institutions , in order to broaden the base for attracting students to scientific careers ."
